Course ID,CSC10002
Class ID,Error
Course name,Error
Teacher,Error
Number of credits,0
Max enrolled,50
Weekday,MON
Session,7:30
Number of students,45
No,StudentID,Midterm,Final,Other,Total
1,21120001,5.8,8.2,8.9,2.112e+07
2,21120002,5.9,2.4,5.8,2.112e+07
3,21120003,3.5,3.7,2.5,2.112e+07
4,21120004,6.9,7.6,9.9,2.112e+07
5,21120005,9.1,5.3,8.2,2.112e+07
6,21120006,9.4,7.7,2.8,2.112e+07
7,21120007,1.2,10,5,2.112e+07
8,21120008,8.4,3,7.7,2.112e+07
9,21120009,3.1,3.9,5.6,2.112e+07
10,21120010,5.5,2.7,4.1,2.112e+07
11,21120011,9.1,2.8,1.8,2.112e+07
12,21120012,9.2,1.2,2.5,2.112e+07
13,21120013,3.8,9,1.9,2.11201e+07
14,21120014,3.3,8.8,9.8,2.11201e+07
15,21120015,1.6,4.8,1,2.11201e+07
16,21120016,6.7,9.1,5.1,2.11201e+07
17,21120017,7.5,2.4,9.3,2.11201e+07
18,21120018,5.8,1,3.7,2.11201e+07
19,21120019,2.3,3.2,2.1,2.11201e+07
20,21120020,4.9,3.8,9,2.11201e+07
21,21120046,2.2,1.6,5.4,2.11201e+07
22,21120047,2.8,6.8,1.6,2.11201e+07
23,21120048,4.5,6.5,6.6,6.6
24,21120049,-1,-1,-1,-1
25,21120050,-1,-1,-1,-1
26,21120051,-1,-1,-1,-1
27,21120052,-1,-1,-1,-1
28,21120053,-1,-1,-1,-1
29,21120054,-1,-1,-1,-1
30,21120055,-1,-1,-1,-1
31,21120056,-1,-1,-1,-1
32,21120057,-1,-1,-1,-1
33,21120058,-1,-1,-1,-1
34,21120059,-1,-1,-1,-1
35,21120060,-1,-1,-1,-1
36,21120061,-1,-1,-1,-1
37,21120062,-1,-1,-1,-1
38,21120063,-1,-1,-1,-1
39,21120064,-1,-1,-1,-1
40,21120065,-1,-1,-1,-1
41,21120066,-1,-1,-1,-1
42,21120067,-1,-1,-1,-1
43,21120068,-1,-1,-1,-1
44,21120069,-1,-1,-1,-1
45,21120070,-1,-1,-1,-1
