Number of students,30,,,,,,
No,ID,Password,First name,Last name,Gender,Dob,SocialID
1,22120031,7.77E+18,Tran,Nam,Male,3/21/2004,50022000031
2,22120032,7.77E+18,Phan,Chau,Female,12/14/2004,50022000032
3,22120033,7.77E+18,Vo,Chau,Male,10/15/2004,50022000033
4,22120034,7.77E+18,Le,Khanh,Female,10/16/2004,50022000034
5,22120035,7.77E+18,Huynh,Khanh,Female,4/10/2004,50022000035
6,22120036,7.77E+18,Hoang,Zung,Female,7/29/2004,50022000036
7,22120037,7.77E+18,Tran,Hoa,Male,6/6/2004,50022000037
8,22120038,7.77E+18,Vo,Nam,Male,1/11/2004,50022000038
9,22120039,7.77E+18,Hoang,Lan,Female,2/13/2004,50022000039
10,22120040,7.77E+18,Vo,Xuan,Female,1/29/2004,50022000040
11,22120041,7.77E+18,Vo,Mai,Female,6/13/2004,50022000041
12,22120042,7.77E+18,Le,Hoa,Female,7/21/2004,50022000042
13,22120043,7.77E+18,Nguyen,Yen,Male,2/9/2004,50022000043
14,22120044,7.77E+18,Phan,Oanh,Female,7/11/2004,50022000044
15,22120045,7.77E+18,Vu,Hoa,Male,7/20/2004,50022000045
16,22120046,7.77E+18,Vo,Duc,Female,9/22/2004,50022000046
17,22120047,7.77E+18,Vo,Chau,Male,8/11/2004,50022000047
18,22120048,7.77E+18,Vu,Giang,Female,10/27/2004,50022000048
19,22120049,7.77E+18,Phan,Mai,Male,11/2/2004,50022000049
20,22120050,7.77E+18,Phan,Nam,Male,4/29/2004,50022000050
21,22120051,7.77E+18,Pham,Hoa,Male,10/18/2004,50022000051
22,22120052,7.77E+18,Vo,Chau,Female,11/24/2004,50022000052
23,22120053,7.77E+18,Vo,An,Female,9/1/2004,50022000053
24,22120054,7.77E+18,Le,Zung,Male,2/26/2004,50022000054
25,22120055,7.77E+18,Hoang,Nam,Male,10/2/2004,50022000055
26,22120056,7.77E+18,Pham,Viet,Male,2/8/2004,50022000056
27,22120057,7.77E+18,Nguyen,Lan,Female,11/12/2004,50022000057
28,22120058,7.77E+18,Hoang,Phong,Male,7/1/2004,50022000058
29,22120059,7.77E+18,Phan,Lan,Male,1/17/2004,50022000059
30,22120060,7.77E+18,Le,Hoa,Male,9/5/2004,50022000060
